"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 07 17:47:57 GMT 2025","Wed May 07 17:47:57 GMT 2025","565","","ui.HomePageTests","","ui.HomePageTests","classesTest","classesTest()",""
"passed","Wed May 07 17:47:57 GMT 2025","Wed May 07 17:47:58 GMT 2025","497","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Wed May 07 17:47:58 GMT 2025","Wed May 07 17:47:58 GMT 2025","684","","ui.HomePageWithPOMTests","","ui.HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"broken","Wed May 07 17:48:04 GMT 2025","Wed May 07 17:48:07 GMT 2025","2466","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","disabledInput","disabledInput()",""
"passed","Wed May 07 17:48:08 GMT 2025","Wed May 07 17:48:12 GMT 2025","3699","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","submitFormTest","submitFormTest()",""
"passed","Wed May 07 17:47:40 GMT 2025","Wed May 07 17:47:50 GMT 2025","9177","","ui.HomePageTests","","ui.HomePageTests","openAllLinksTest","openAllLinksTest()",""
"passed","Wed May 07 17:48:00 GMT 2025","Wed May 07 17:48:01 GMT 2025","872","","ui.WebFormTests","","ui.WebFormTests","disabledInput","disabledInput()",""
"passed","Wed May 07 17:47:58 GMT 2025","Wed May 07 17:47:59 GMT 2025","657","","ui.NavigationTestsForPOM","","ui.NavigationTestsForPOM","openNavFormTest","openNavFormTest()",""
"passed","Wed May 07 17:47:59 GMT 2025","Wed May 07 17:48:00 GMT 2025","1022","","ui.WebFormTests","","ui.WebFormTests","checkTextareaInput","checkTextareaInput()",""
"passed","Wed May 07 17:48:07 GMT 2025","Wed May 07 17:48:08 GMT 2025","763","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","openWebFormTest","openWebFormTest()",""
"passed","Wed May 07 17:48:07 GMT 2025","Wed May 07 17:48:07 GMT 2025","724","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"broken","Wed May 07 17:48:02 GMT 2025","Wed May 07 17:48:04 GMT 2025","2471","","ui.WebFormTestsForPOM","","ui.WebFormTestsForPOM","checkTextareaInput","checkTextareaInput()",""
"passed","Wed May 07 17:48:01 GMT 2025","Wed May 07 17:48:02 GMT 2025","755","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Wed May 07 17:47:50 GMT 2025","Wed May 07 17:47:57 GMT 2025","6931","","ui.HomePageTests","","ui.HomePageTests","openAllLinksTest2","openAllLinksTest2()",""
